Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With Social Security income,Margin of Error; Total: - With Social Security income,Estimate; Total: - No Social Security income,Margin of Error; Total: - No Social Security income
Allegheny Center,1,733,103,99,38,634,107
Allegheny West,2,150,46,47,31,103,40
Allentown,3,1138.0,152.751432072,311.0,80.4860236315,827.0,144.779142144
Arlington,4,685.0,105.366028681,229.0,59.1016074232,456.0,97.8314877736
Arlington Heights,5,170,69,49,45,121,59
Banksville,6,2002.0,224.986666271,583.0,148.546289082,1419.0,218.03898734
Bedford Dwellings,7,684,63,173,47,511,64
Beechview,8,3557.0,270.051846874,1068.0,156.217796681,2489.0,256.501461984
Beltzhoover,9,869.0,146.594679303,307.0,92.1249151967,562.0,134.007462478
Bloomfield,10,4640.0,215.506380416,938.0,117.660528641,3702.0,223.369648789
Bluff,11,274.0,67.6830850361,63.0,30.6594194335,211.0,64.976918979
Bon Air,12,356,74,120,42,236,68
Brighton Heights,13,3259.0,203.816093574,994.0,132.717745611,2265.0,201.586209846
Brookline,14,6017.0,340.492290662,2015.0,227.910069985,4002.0,332.601864096
California-Kirkbride,15,291,52,62,27,229,53
Carrick,16,4310.0,280.110692406,1344.0,169.177421662,2966.0,265.358248411
Central Business District,17,1831.0,222.436507795,331.0,99.548982918,1500.0,210.762899961
Central Lawrenceville,18,2230.0,175.339670354,612.0,105.380263807,1618.0,167.269244036
Central Northside,19,1487.0,126.4673871,350.0,66.7382948539,1137.0,127.459797583
Central Oakland,20,1918.0,152.6761278,180.0,62.6578007913,1738.0,155.106415084
Chartiers City,21,215,60,101,41,114,60
Chateau,22,0,10,0,10,0,10
Crafton Heights,23,1640.0,124.49899598,406.0,65.8710862215,1234.0,122.600978788
Crawford-Roberts,24,1146.0,147.322774886,616.0,122.44182292,530.0,106.212052047
Duquesne Heights,25,1175.0,108.706025592,330.0,71.6100551599,845.0,106.526991885
East Allegheny,26,1318.0,147.989864518,362.0,79.4040301244,956.0,149.241415163
East Carnegie,27,223,38,35,21,188,41
East Hills,28,1325.0,142.530698448,470.0,107.004672795,855.0,137.782437197
East Liberty,29,2894.0,229.279305651,761.0,132.789306799,2133.0,221.052030075
Elliott,30,947.0,129.853763904,270.0,64.7919748117,677.0,131.670042151
Esplen,31,147,53,38,24,109,52
Fairywood,32,457,85,44,30,413,80
Fineview,33,648.0,107.517440446,179.0,57.2450871254,469.0,112.294256309
Friendship,34,1077.0,125.924580603,41.0,33.2415402772,1036.0,127.062976512
Garfield,35,1506.0,137.648102058,541.0,88.017043804,965.0,133.562719349
Glen Hazel,36,254,86,120,47,134,81
Greenfield,37,3390.0,248.064507739,947.0,155.119308921,2443.0,256.698266454
Hays,38,170,38,32,17,138,42
Hazelwood,39,1884.0,205.625873858,678.0,126.925174808,1206.0,196.885753675
Highland Park,40,3025.0,247.513635987,755.0,152.124948644,2270.0,252.388589284
Homewood North,41,1275.0,144.855100014,540.0,101.803732741,735.0,132.491509161
Homewood South,42,1105.0,119.159556897,501.0,84.746681351,604.0,103.937481209
Homewood West,43,423.0,79.0253124005,210.0,59.4053869611,213.0,71.8679344353
Knoxville,44,1508.0,214.471443321,491.0,146.645831853,1017.0,195.509590557
Larimer,45,660.0,94.6308617736,264.0,63.4822809924,396.0,85.3814968246
Lincoln Place,46,1444.0,146.656060223,599.0,107.851750102,845.0,128.557380185
Lincoln-Lemington-Belmar,47,1897.0,153.264477293,807.0,116.038786619,1090.0,146.109547942
Lower Lawrenceville,48,1241.0,131.590273197,265.0,56.302753041,976.0,129.402472928
Manchester,49,930.0,111.400179533,326.0,71.6100551599,604.0,101.257098517
Marshall-Shadeland,50,1694.0,173.389734414,407.0,81.3265024454,1287.0,165.230142528
Middle Hill,51,904.0,119.12178642,354.0,78.7019694798,550.0,111.561642154
Morningside,52,1557.0,152.009868101,499.0,97.0618359604,1058.0,146.540096902
Mount Oliver Borough,53,1351.0,184.436981108,385.0,103.744879392,966.0,173.352242559
Mount Washington,54,4425.0,254.958820205,1317.0,152.154526715,3108.0,247.949591651
Mt. Oliver,55,221,42,62,25,159,46
New Homestead,56,364,37,148,31,216,32
North Oakland,57,3048.0,239.739441894,893.0,117.974573532,2155.0,234.397098958
North Shore,58,141.0,36.4005494464,8.0,15.6204993518,133.0,37.3630833845
Northview Heights,59,412,91,87,40,325,95
Oakwood,60,576,51,178,43,398,67
Overbrook,61,1602.0,121.095004025,544.0,78.5811682275,1058.0,120.295469574
Perry North,62,1657.0,142.035206903,444.0,84.0178552451,1213.0,141.682744186
Perry South,63,1621.0,159.45845854,562.0,111.503363178,1059.0,154.83539647
Point Breeze,64,2348.0,149.080515159,571.0,109.485158812,1777.0,143.006992835
Point Breeze North,65,1023.0,162.929432578,303.0,116.451706729,720.0,156.064089399
Polish Hill,66,772.0,93.3380951166,213.0,47.3814309619,559.0,92.6984358013
Regent Square,67,467,29,101,22,366,29
Ridgemont,68,168,56,43,31,125,55
Shadyside,69,7462.0,368.263492624,880.0,155.37696097,6582.0,372.800214593
Sheraden,70,2044.0,188.719368375,633.0,116.219619686,1411.0,175.396693241
South Oakland,71,1191.0,137.280734263,289.0,88.3911760302,902.0,133.015036744
South Shore,72,8,9,0,10,8,9
South Side Flats,73,3452.0,285.39271189,670.0,135.937485632,2782.0,273.137328097
South Side Slopes,74,1992.0,198.040399919,500.0,95.0210502993,1492.0,193.2614809
Spring Garden,75,382.0,68.7677249878,114.0,38.9486841883,268.0,70.7248188403
Spring Hill-City View,76,1063.0,164.924225025,333.0,91.8749149659,730.0,156.79285698
Squirrel Hill North,77,3413.0,187.901569978,970.0,139.158183374,2443.0,188.645169565
Squirrel Hill South,78,6918.0,334.923871946,1987.0,246.734675309,4931.0,320.948594014
St. Clair,79,104,32,19,19,85,26
Stanton Heights,80,2070.0,137.786066059,901.0,126.095202129,1169.0,147.197146712
Strip District,81,478,66,35,24,443,70
Summer Hill,82,524,15,106,29,418,35
Swisshelm Park,83,570,58,196,49,374,61
Terrace Village,84,930.0,122.89019489,283.0,67.5721836261,647.0,115.887876847
Troy Hill,85,1179.0,163.217646105,296.0,86.0232526704,883.0,148.949655924
Upper Hill,86,926.0,121.297155779,400.0,90.8295106229,526.0,106.845683114
Upper Lawrenceville,87,1262.0,144.100659263,325.0,93.728330829,937.0,143.209636547
West End,88,120,59,28,22,92,57
